"operator","technology","download","speed_kbps","signal_strength","lsa"
"JIO","4G","upload","3935","-102","NA"
"JIO","4G","upload","8370","-105","NA"
"JIO","4G","upload","378","na","NA"
"JIO","4G","upload","791","na","NA"
"JIO","4G","upload","248","-104","NA"
"JIO","4G","upload","6055","-110","NA"
"JIO","4G","upload","311","-105","NA"
"JIO","4G","upload","4330","-99","NA"
"JIO","4G","upload","2098","-102","NA"
"JIO","4G","upload","286","-112","NA"
"JIO","4G","upload","1995","-106","NA"
"JIO","4G","upload","4010","-87","NA"
"JIO","4G","upload","5202","-109","NA"
"JIO","4G","upload","3890","-95","NA"
"JIO","4G","upload","66","-112","NA"
"JIO","4G","upload","572","-108","NA"
"JIO","4G","upload","206","na","NA"
"JIO","4G","upload","4751","-103","NA"
"JIO","4G","upload","13668","-88","NA"
"JIO","4G","upload","1736","-89","NA"
